Pos| Game| Year| Genre| Publisher| North America| Europe| Japan| Rest of World| GlobalGame| Console system
Troll and I| https://www.vgchartz.com/game/159122/troll-and-i/| 2017| Action| Maximum Games| 0.05| 0.04| 0.00| 0.01| 0.10| Nintendo Switch
Dragon Quest Heroes I & II for Nintendo Switch| https://www.vgchartz.com/game/161261/dragon-quest-heroes-i-amp-ii-for-nintendo-switch/| 2017| Role-Playing| Square Enix| 0.00| 0.00| 0.09| 0.00| 0.09| Nintendo Switch
MXGP 3: The Official Motocross Videogame| https://www.vgchartz.com/game/219846/mxgp-3-the-official-motocross-videogame/| 2017| Racing| Koch Media| 0.06| 0.02| 0.00| 0.01| 0.08| Nintendo Switch
Cartoon Network Battle Crashers| https://www.vgchartz.com/game/189458/cartoon-network-battle-crashers/| 2017| Action| Maximum Games| 0.04| 0.04| 0.00| 0.01| 0.08| Nintendo Switch
Ben 10 (2017)| https://www.vgchartz.com/game/208598/ben-10-2017/| 2017| Action| Outright Games| 0.04| 0.03| 0.00| 0.01| 0.08| Nintendo Switch
R.B.I. Baseball 2017| https://www.vgchartz.com/game/190938/rbi-baseball-2017/| 2017| Sports| MLB.com| 0.07| 0.00| 0.00| 0.01| 0.08| Nintendo Switch
Monster Jam: Crush It| https://www.vgchartz.com/game/204846/monster-jam-crush-it/| 2017| Racing| Maximum Games| 0.04| 0.03| 0.00| 0.01| 0.08| Nintendo Switch
Seiken Densetsu Collection| https://www.vgchartz.com/game/187030/seiken-densetsu-collection/| 2017| Role-Playing| Square Enix| 0.00| 0.00| 0.07| 0.00| 0.07| Nintendo Switch
Poi| https://www.vgchartz.com/game/206655/poi/| 2017| Platform| Polykid| 0.05| 0.01| 0.00| 0.01| 0.07| Nintendo Switch
One Piece: Unlimited World Red| https://www.vgchartz.com/game/199850/one-piece-unlimited-world-red-deluxe-edition/| 2017| Action| Namco Bandai Games| 0.00| 0.04| 0.03| 0.00| 0.07| Nintendo Switch
