Pos| Game| Year| Genre| Publisher| North America| Europe| Japan| Rest of World| GlobalGame| Console system
Need for Speed: Shift| https://www.vgchartz.com/game/31149/need-for-speed-shift/| 2009| Racing| Electronic Arts| 0.73| 0.96| 0.01| 0.22| 1.91| Xbox 360
Tomb Raider| https://www.vgchartz.com/game/70429/tomb-raider-2013/| 2013| Action| Square Enix| 0.86| 0.87| 0.01| 0.16| 1.90| Xbox 360
Batman: Arkham Origins| https://www.vgchartz.com/game/71971/batman-arkham-origins/| 2013| Action-Adventure| Warner Bros. Interactive Entertainment| 1.15| 0.58| 0.00| 0.17| 1.90| Xbox 360
Half-Life 2: The Orange Box| https://www.vgchartz.com/game/7619/the-orange-box/| 2007| Shooter| Electronic Arts| 1.09| 0.53| 0.02| 0.17| 1.82| Xbox 360
Madden NFL 07| https://www.vgchartz.com/game/5296/madden-nfl-07/| 2006| Sports| EA Sports| 1.66| 0.00| 0.01| 0.13| 1.80| Xbox 360
Star Wars Kinect| https://www.vgchartz.com/game/51740/kinect-star-wars/| 2012| Action| Microsoft Studios| 1.05| 0.53| 0.03| 0.15| 1.76| Xbox 360
Crackdown| https://www.vgchartz.com/game/405/crackdown/| 2007| Shooter| Microsoft Game Studios| 1.00| 0.53| 0.03| 0.18| 1.75| Xbox 360
Dishonored| https://www.vgchartz.com/game/52942/dishonored/| 2012| Shooter| Bethesda Softworks| 1.06| 0.50| 0.01| 0.15| 1.72| Xbox 360
Hitman: Absolution| https://www.vgchartz.com/game/50957/hitman-absolution/| 2012| Action| Square Enix| 0.68| 0.88| 0.01| 0.13| 1.70| Xbox 360
Saints Row IV| https://www.vgchartz.com/game/71730/saints-row-iv/| 2013| Action| Deep Silver| 1.01| 0.51| 0.01| 0.15| 1.69| Xbox 360
Need for Speed: Undercover| https://www.vgchartz.com/game/25735/need-for-speed-undercover/| 2008| Racing| Electronic Arts| 0.80| 0.70| 0.01| 0.18| 1.69| Xbox 360
LEGO Batman 2: DC Super Heroes| https://www.vgchartz.com/game/70696/lego-batman-2-dc-super-heroes/| 2012| Action-Adventure| Warner Bros. Interactive Entertainment| 0.90| 0.64| 0.00| 0.15| 1.69| Xbox 360
NBA 2K15| https://www.vgchartz.com/game/78586/nba-2k15/| 2014| Sports| 2K Sports| 1.37| 0.11| 0.00| 0.17| 1.66| Xbox 360
Need for Speed: Carbon| https://www.vgchartz.com/game/3908/need-for-speed-carbon/| 2006| Racing| Electronic Arts| 0.76| 0.69| 0.02| 0.18| 1.65| Xbox 360
Army of Two| https://www.vgchartz.com/game/16938/army-of-two/| 2008| Shooter| Electronic Arts| 1.09| 0.37| 0.02| 0.16| 1.64| Xbox 360
Max Payne 3| https://www.vgchartz.com/game/32878/max-payne-3/| 2012| Shooter| Rockstar Games| 0.86| 0.62| 0.01| 0.13| 1.63| Xbox 360
Kinectimals| https://www.vgchartz.com/game/45606/kinectimals/| 2010| Simulation| Microsoft Game Studios| 1.02| 0.46| 0.00| 0.14| 1.62| Xbox 360
Viva Pinata| https://www.vgchartz.com/game/2619/viva-pinata/| 2006| Simulation| Microsoft Game Studios| 0.45| 0.95| 0.02| 0.20| 1.62| Xbox 360
Rage| https://www.vgchartz.com/game/25458/rage/| 2011| Shooter| Bethesda Softworks| 0.82| 0.60| 0.03| 0.15| 1.60| Xbox 360
Gears of War: Judgment| https://www.vgchartz.com/game/70765/gears-of-war-judgment/| 2013| Shooter| Microsoft Studios| 0.92| 0.51| 0.03| 0.14| 1.60| Xbox 360
Just Cause 2| https://www.vgchartz.com/game/24232/just-cause-2/| 2010| Action| Square Enix| 0.59| 0.83| 0.02| 0.17| 1.60| Xbox 360
LEGO Harry Potter: Years 1-4| https://www.vgchartz.com/game/35010/lego-harry-potter-years-1-4/| 2010| Adventure| Warner Bros. Interactive| 0.95| 0.50| 0.00| 0.14| 1.59| Xbox 360
Far Cry 2| https://www.vgchartz.com/game/24703/far-cry-2/| 2008| Shooter| Ubisoft| 0.72| 0.69| 0.02| 0.18| 1.59| Xbox 360
FIFA 16| https://www.vgchartz.com/game/85613/fifa-16/| 2015| Sports| EA Sports| 0.59| 0.88| 0.00| 0.12| 1.59| Xbox 360
Soul Calibur IV| https://www.vgchartz.com/game/14145/soulcalibur-iv/| 2008| Fighting| Ubisoft| 0.92| 0.43| 0.07| 0.15| 1.58| Xbox 360
Mafia II| https://www.vgchartz.com/game/14175/mafia-ii/| 2010| Action| 2K Games| 0.85| 0.55| 0.00| 0.15| 1.56| Xbox 360
Need for Speed: Most Wanted (a Criterion Game)| https://www.vgchartz.com/game/70937/need-for-speed-most-wanted-2012/| 2012| Racing| Electronic Arts| 0.62| 0.79| 0.01| 0.12| 1.54| Xbox 360
Tom Clancy Ghost Recon Advanced Warfighter| https://www.vgchartz.com/game/6501/tom-clancys-ghost-recon-advanced-warfighter/| 2006| Shooter| Ubisoft| 1.40| 0.02| 0.02| 0.10| 1.54| Xbox 360
Disney Infinity| https://www.vgchartz.com/game/71965/disney-infinity/| 2013| Misc| Disney Interactive Studios| 1.04| 0.35| 0.00| 0.15| 1.53| Xbox 360
Dead Space 2| https://www.vgchartz.com/game/36809/dead-space-2/| 2011| Shooter| Electronic Arts| 0.94| 0.44| 0.00| 0.13| 1.52| Xbox 360
Dead Rising 2| https://www.vgchartz.com/game/31569/dead-rising-2/| 2010| Action| Capcom| 0.75| 0.53| 0.09| 0.13| 1.49| Xbox 360
Tom Clancy's Ghost Recon: Future Soldier| https://www.vgchartz.com/game/43311/tom-clancys-ghost-recon-future-soldier/| 2012| Shooter| Ubisoft| 0.94| 0.40| 0.02| 0.13| 1.48| Xbox 360
LEGO Star Wars III: The Clone Wars| https://www.vgchartz.com/game/43298/lego-star-wars-iii-the-clone-wars/| 2011| Action| LucasArts| 0.84| 0.51| 0.00| 0.13| 1.48| Xbox 360
Sonic's Ultimate Genesis Collection| https://www.vgchartz.com/game/29683/sonics-ultimate-genesis-collection/| 2009| Misc| Sega| 0.90| 0.44| 0.00| 0.14| 1.48| Xbox 360
Quantum of Solace| https://www.vgchartz.com/game/21876/007-quantum-of-solace/| 2008| Shooter| Activision| 0.82| 0.51| 0.01| 0.14| 1.48| Xbox 360
Fight Night Round 3| https://www.vgchartz.com/game/5109/fight-night-round-3/| 2006| Fighting| EA Sports| 1.33| 0.03| 0.01| 0.10| 1.47| Xbox 360
Battlefield: Bad Company| https://www.vgchartz.com/game/14537/battlefield-bad-company/| 2008| Shooter| Electronic Arts| 0.81| 0.46| 0.04| 0.15| 1.46| Xbox 360
Homefront| https://www.vgchartz.com/game/34846/homefront/| 2011| Shooter| THQ| 0.83| 0.48| 0.02| 0.12| 1.46| Xbox 360
Diablo III| https://www.vgchartz.com/game/50270/diablo-iii/| 2013| Role-Playing| Blizzard Entertainment| 0.92| 0.40| 0.00| 0.13| 1.45| Xbox 360
Star Wars: The Force Unleashed II| https://www.vgchartz.com/game/41803/star-wars-the-force-unleashed-ii/| 2010| Action| LucasArts| 0.95| 0.37| 0.00| 0.12| 1.44| Xbox 360
